client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
e7b741b8447cba0c0447acf0d51fdafebc0339a5b8a8532c5a760ee0ab904bd35c7ec21fa20673eb3b2ec06233e311c219579edfc5d673539a6381bbd281e0b7	common_voice_pa-IN_21917833.mp3	ਅੱਜ ਉਹਨਾਂ ਦੀ ਜਾਇਦਾਦ ਦੀ ਜਾਂਚ ਹੋਵੇ	2	0				pa-IN	
e7b741b8447cba0c0447acf0d51fdafebc0339a5b8a8532c5a760ee0ab904bd35c7ec21fa20673eb3b2ec06233e311c219579edfc5d673539a6381bbd281e0b7	common_voice_pa-IN_21917831.mp3	ਦੋਵੇਂ ਥੋੜ੍ਹੀ ਦੇਰ ਚੁੱਪ ਖਲੋਤੇ ਰਹੇ	2	1				pa-IN	
25c1d04b50cee236ac83edbf68004e14d84b9c09c8bab3bfd969f150bae687a1be9e700b9c3fa6d474e5c8d23561ce3d67e5e7911880caeb00433ef79f09ce4d	common_voice_pa-IN_21717904.mp3	ਉਨ੍ਹਾਂ ਨੇ ਸਾਰੇ ਤਜ਼ਰਬੇ ਵੱਖਰੀ ਕਿਸਮ ਦੇ ਕੀਤੇ ਹਨ	2	0				pa-IN	
25c1d04b50cee236ac83edbf68004e14d84b9c09c8bab3bfd969f150bae687a1be9e700b9c3fa6d474e5c8d23561ce3d67e5e7911880caeb00433ef79f09ce4d	common_voice_pa-IN_21717907.mp3	ਜੰਗ ਵਿਆਂ ਵਿੱਚ ਲੜੀ ਗਈ	2	1				pa-IN	
25c1d04b50cee236ac83edbf68004e14d84b9c09c8bab3bfd969f150bae687a1be9e700b9c3fa6d474e5c8d23561ce3d67e5e7911880caeb00433ef79f09ce4d	common_voice_pa-IN_21717908.mp3	ਧਰਮ ਦੇ ਨਾਂ ਤੇ ਦੇਸ਼ ਦੀ ਵੰਡ	2	0				pa-IN	
ae5d7964ae1cf5548b443f16e68eeb3005e6e1c19d4af7b3a3848dda4fe2436a10a8db34dd7fb48346a8b5ebce39d18a370a3a2218bad02c29f2f57d430497a2	common_voice_pa-IN_21916817.mp3	ਮੇਰੀਆਂ ਤੇ ਅੱਖੀਆਂ ਪੱਕ ਗਈਆਂ ਸਨ	2	0	fourties	male		pa-IN	
ae5d7964ae1cf5548b443f16e68eeb3005e6e1c19d4af7b3a3848dda4fe2436a10a8db34dd7fb48346a8b5ebce39d18a370a3a2218bad02c29f2f57d430497a2	common_voice_pa-IN_21916812.mp3	ਪੁੱਤ ਨੂੰ ਜਹਿਰ ਦੇ ਰਿਹਾ ਸੀ	2	0	fourties	male		pa-IN	
ae5d7964ae1cf5548b443f16e68eeb3005e6e1c19d4af7b3a3848dda4fe2436a10a8db34dd7fb48346a8b5ebce39d18a370a3a2218bad02c29f2f57d430497a2	common_voice_pa-IN_21982384.mp3	ਮੈਨੂੰ ਰਾਂਝਣਾ ਨਦਰ ਨਾ ਆਂਵਦਾ ਈ	2	0	fourties	male		pa-IN	
ae5d7964ae1cf5548b443f16e68eeb3005e6e1c19d4af7b3a3848dda4fe2436a10a8db34dd7fb48346a8b5ebce39d18a370a3a2218bad02c29f2f57d430497a2	common_voice_pa-IN_21982380.mp3	ਜਦੋਂ ਤੱਕ ਅਸੀਂ ਆਪਣੀ ਮਾਨਸਿਕਤਾ ਬਦਲਦੇ ਨਹੀਂ	2	0	fourties	male		pa-IN	
ae5d7964ae1cf5548b443f16e68eeb3005e6e1c19d4af7b3a3848dda4fe2436a10a8db34dd7fb48346a8b5ebce39d18a370a3a2218bad02c29f2f57d430497a2	common_voice_pa-IN_21982822.mp3	ਗੋਲਡ ਤੇ ਸਟੀਕ ਬੈਠਿਆ ਅਭਿਨਵ ਦਾ ਨਿਸ਼ਾਨਾ	2	0	fourties	male		pa-IN	
ae5d7964ae1cf5548b443f16e68eeb3005e6e1c19d4af7b3a3848dda4fe2436a10a8db34dd7fb48346a8b5ebce39d18a370a3a2218bad02c29f2f57d430497a2	common_voice_pa-IN_21982949.mp3	ਨਸ਼ਿਆਂ ਨੂੰ ਰੋਕਣ ਲਈ ਵੀ ਫ਼ਿਲਮ ਬਣਾਈ	2	0	fourties	male		pa-IN	
ae5d7964ae1cf5548b443f16e68eeb3005e6e1c19d4af7b3a3848dda4fe2436a10a8db34dd7fb48346a8b5ebce39d18a370a3a2218bad02c29f2f57d430497a2	common_voice_pa-IN_21983056.mp3	ਡੌਨ ਵਾਂਗ ਹੀ ਮੈਨੂੰ ਉਸ ਦਾ ਕਿਰਦਾਰ ਵੀ ਬੇਹੱਦ ਪਾਵਰਫੁਲ ਲੱਗਦਾ ਹੈ	2	0	fourties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917696.mp3	ਸੈਲਜ਼ ਦਾ ਮਤਲਬ ਹੈ ਸਟ੍ਰੈਟੇਜੀਜ਼ ਫਾਰ ਨੈਗਲੀਜ਼ੇਬਲ ਸੈਨੇਸੈਂਸ	2	1	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917698.mp3	ਮੇਰੇ ਪਾਤਰ ਆਪਣੀ ਰਵਾਇਤੀ ਭਾਸ਼ਾ ਬੋਲਦੇ ਹਨ	2	0	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917695.mp3	ਕਹਿੰਦਾ ਸੀ ਮੁੰਡਾ ਨਕਸਲਬਾੜੀਆਂ ਚ ਹੈ	2	0	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917710.mp3	ਸਿਆਸਤਦਾਨਾਂ ਦਾ ਅੰਦਾਜ਼ ਹੈ	2	0	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917711.mp3	ਧੀ ਵੀ ਅੜੀਅਲ ਹੋ ਜਾਂਦੀ	2	1	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917714.mp3	ਉਹਦੀ ਬਾਹਰਲੇ ਕਲੱਬਾਂ ਨਾਲ ਅੱਟੀ ਸੱਟੀ ਸੀ	2	1	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917727.mp3	ਕੈਨੇਡੀਅਨ ਕਾਰੋਬਾਰ ਵੀ ਵੱਧ ਰਿਹਾ ਸੀ	2	1	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917718.mp3	ਸੰਗੀਤ ਸਾਡੀ ਜ਼ਿੰਦਗੀ ਲਈ ਇਕ ਸਾਥੀ ਵਾਂਗ ਹੈ	2	0	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917724.mp3	ਬੱਚੇ ਭੁੱਖ ਨਾਲ ਬਿਲਕ ਰਹੇ ਹਨ ਮਾਂਬਾਪ ਕੋਲੋਂ ਦੇਖੇ ਨਹੀਂ ਜਾ ਰਹੇ	2	0	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917741.mp3	ਮੀਂਹ ਕਣੀ ਨਾਲ ਸਾਰਾ ਸੁਆਦ ਮਾਰਿਆ ਜਾਂਦੈ	2	1	fifties	male		pa-IN	
fdf3a087da4620a92acb4f49c65e90ac384c9e93c739e79f2088be0c97406e7b4dad2497957c58c632fb394eb6338e9f41aab06125ce2f1d701d1e40aafec697	common_voice_pa-IN_21917740.mp3	ਜੋ ਤੁਸੀਂ ਖਾਂਦੇ ਓ ਤੁਸੀਂ ਓਹੀ ਓ	2	0	fifties	male		pa-IN	
